 64.00000000	     -0.00617311	 -0.27022828	
128.00000000	     -0.00325495	 -0.27522429	
256.00000000	     -0.00169450	 -0.27722269	
512.00000000	     -0.00087389	 -0.28044234	
1024.00000000	     -0.00044753	 -0.27855496	
2048.00000000	     -0.00022796	 -0.28022029	
4096.00000000	     -0.00011565	 -0.27589042	
8192.00000000	     -0.00005849	 -0.27611247	
16384.00000000	     -0.00002951	 -0.28232972	
32768.00000000	     -0.00001486	 -0.28110847	
65536.00000000	     -0.00000747	 -0.27811087	
131072.00000000	     -0.00000375	 -0.28843594	
262144.00000000	     -0.00000188	 -0.28677061	
524288.00000000	     -0.00000094	 -0.28299585	
1048576.00000000	 -0.00000047	 -0.28599345	
2097152.00000000	 -0.00000024	 -0.27866598	
4194304.00000000	 -0.00000012	 -0.27600144	
8388608.00000000	 -0.00000006	 -0.27822189	
16777216.00000000	 -0.00000003	 -0.27122748	
